Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,WPX,0,0,0,0,4670000000.0,7690000000.0,21.74,24.63,1.46,2.02,1.03,3.73,207.73,-52.09,3.01,0.43,-19.32,2060000000.0,4.13,-6.0,1730000000.0,1160000000.0,-891000000.0,-2.15,,195000000.0,0.35,3210000000.0,70.65,1.0,8.09,1270000000.0,76120000.0,3.72,6.84,5.94,9660000.0,561040000.0,403760000.0,0.7,99.19,28360000.0,3.29,7.02,27160000.0
0,0,PETM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,DNB,0,0,0,0,10810000000.0,13880000000.0,,23.31,,6.39,3.0,8.21,38.91,-20.69,-4.39,,,1690000000.0,4.0,8.3,965400000.0,410300000.0,-370300000.0,-0.88,,311300000.0,0.74,3380000000.0,92.27,0.92,8.53,187500000.0,,,26.73,26.02,1020000.0,423040000.0,138570000.0,0.24,72.6,7180000.0,7.97,4.24,4790000.0
0,0,ADP,0,0,0,0,76050000000.0,76760000000.0,30.79,33.11,4.13,5.25,13.09,5.27,20.28,17.07,22.76,5.17,44.52,14560000000.0,33.89,-0.7,6510000000.0,3810000000.0,2490000000.0,5.76,3.4,1620000000.0,3.77,2420000000.0,41.67,1.08,13.53,3080000000.0,2430000000.0,0.72,171.34,150.34,1910000.0,428810000.0,427940000.0,0.1,82.29,4120000.0,2.29,0.96,4540000.0
0,0,UA,0,0,0,0,7330000000.0,8490000000.0,41.15,117.65,4.2,1.52,4.67,1.88,-19.34,-16.6,-1.01,-0.6,-41.33,4510000000.0,9.95,0.2,2470000000.0,124440000.0,-748930000.0,-1.66,-61.9,865610000.0,1.9,2029999999.9999998,137.86,2.05,3.23,156860000.0,196800000.0,1.13,14.16,10.78,4099999.9999999995,231680000.0,350180000.0,16.04,72.33,21500000.0,4.87,,20450000.0
0,0,ANN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AEP,0,0,0,0,41630000000.0,74400000000.0,21.6,17.79,2.76,2.78,2.04,4.97,12.58,12.85,20.02,2.45,9.41,14920000000.0,30.14,-5.8,6500000000.0,5400000000.0,1920000000.0,3.86,2.1,618700000.0,1.25,33390000000.0,161.82,0.48,41.03,3840000000.0,-2780000000.0,0.21,86.37,84.45,2780000.0,496390000.0,495870000.0,0.01,76.84,6220000.0,2.09,1.25,7870000.0
0,0,PPL,0,0,0,0,21590000000.0,44980000000.0,13.97,11.56,,2.82,1.58,5.89,10.27,20.22,40.51,4.18,12.06,7630000000.0,9.99,-2.5,4360000000.0,4430000000.0,1540000000.0,2.01,-40.8,746000000.0,0.97,24240000000.0,177.09,0.5,17.8,2790000000.0,-529250000.0,0.75,28.7,27.65,4670000.0,768830000.0,767900000.0,0.12,69.93,11590000.0,2.45,1.51,11840000.0
0,0,CSX,0,0,0,0,69250000000.0,83230000000.0,25.15,20.92,3.18,6.56,5.44,7.83,14.48,26.08,40.14,6.83,22.56,10640000000.0,13.84,-11.1,6290000000.0,5650000000.0,2780000000.0,3.6,-14.0,2900000000.0,3.79,16969999999.999998,133.32,1.84,16.62,4240000000.0,1960000000.0,1.2,89.36,77.97,4179999.9999999995,764770000.0,763980000.0,0.11,76.75,7830000.0,1.77,1.03,7640000.0
0,0,PPG,0,0,0,0,33759999999.999996,38010000000.0,31.48,21.28,25.94,2.47,6.36,2.76,18.34,7.85,11.84,5.6,20.34,13750000000.0,58.09,-3.7,6530000000.0,2150000000.0,1080000000.0,4.54,20.4,2100000000.0,8.89,6350000000.0,117.02,1.52,22.48,1970000000.0,1540000000.0,1.13,142.38,123.54,1250000.0,236200000.0,235810000.0,0.43,79.83,3320000.0,2.87,1.41,3670000.0
0,0,VNO,0,0,0,0,7280000000.0,14650000000.0,139.63,35.59,,4.51,1.31,9.08,24.9,6.53,13.45,0.75,-1.15,1590000000.0,8.31,-42.5,1080000000.0,581420000.0,53440000.0,0.28,-80.4,1410000000.0,7.38,8010000000.0,105.63,5.68,29.16,455930000.0,597830000.0,1.42,37.94,36.7,2410000.0,191260000.0,168240000.0,8.22,84.7,15340000.0,4.53,10.44,16230000.0
0,0,ICE,0,0,0,0,61080000000.0,78120000000.0,29.98,22.62,1.95,7.86,3.21,10.17,21.24,35.51,53.17,1.69,11.17,5660000000.0,10.29,5.6,5200000000.0,3490000000.0,2009999999.9999998,3.63,-26.3,610000000.0,1.09,17650000000.0,92.17,0.99,33.91,2590000000.0,1880000000.0,0.67,103.36,99.37,2700000.0,561280000.0,555350000.0,1.43,91.04,3970000.0,1.4,0.72,4770000.0
